WineName,Price,CountryState,Region,ProductType,VarietalType,Description
A by Acacia Pinot Noir,$8.97,California,Carneros,Red Wine,Pinot Noir,Carneros CA- A generous Pinot Noir with delicious flavors of cherry vanilla and cinnamon. Ripe tannins provide structure while toasty oak gives the wine pleasant aromas of spice and seasoned wood. (Elegant Cherry Cinnamon  Medium-bodied )
Rosemount Shiraz,$7.49,Australia,South Eastern Australia,Red Wine,Syrah/Shiraz,Australia- Complex layers of fleshy lifted flavor with concentrated dark fruit spice notes and background oak flavors offering support. The palate has great length extending to a lovely soft finish. ()
Gumdale Shiraz,$8.49,Australia,South Eastern Australia,Red Wine,Syrah/Shiraz,South Eastern Australia- Featuring an intense bouquet and flavors of blackberry black cherry plum anise and vanilla that linger enticingly on a long finish this full-bodied wine from the Casella family offers a soft texture and easy-drinking style. Try it with barbecued pork. (Fresh Blackberry Cherry Plum  Medium-bodied )
Tom Gore Cabernet Sauvignon,$12.99,California,,Red Wine,Cabernet Sauvignon,California- This Cabernet Sauvignon is dark red in color with aromas of currant plum and wonderful hints of mocha and coffee on the palate. Fruit forward with a supple mouthfeel and medium body. ()
Luca Malbec 2014,$26.99,Argentina,Mendoza,Red Wine,Malbec,Wine Advocate-Mendoza Argentina - The expansive palate has great depth and fruit with very good freshness. This could well be the best vintage of Luca Malbec and I think the best might be yet to come as the new vineyards mature. (Intense Berry Spice Espresso  Full-bodied )
Terrazas Los Andes Malbec Reserva,$18.49,Argentina,Mendoza,Red Wine,Malbec,Mendoza Argentina- On the nose there is freshly crushed violet flowers enveloping a deep core of jam preserves and ripened plums. The palate has racy notes of violet and graphite and are followed by mouthfuls of dry cherries and fresh berry fruit. (Concentrated Plum Cherry  Full-bodied )
Peju Province Cabernet Napa,$49.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Napa CA- This wine has notes of deep dark blackberry and plum with hints of vanilla tobacco and spice. It has a smooth supple entry with a rich round mid-palate that is elegant in style finishing with soft lingering tannins. Extended maceration on the skins. 100% estate fruit. ()
Red Vin Sweet Red,$8.99,Germany,Rheinhessen,Red Wine,Dornfelder,Rheinhessen Germany- Made from the native Dornfelder grape this sweet red combines silky tannins with flavors of raspberry and plum with a pleasant sweet finish. Nice match with a sweet glazed ham. (Sweet Raspberry Plum  Light-bodied )
Montresor Valpolicella Il Veronese,$14.99,Italy,Veneto,Red Wine,Corvina,Valpolicella Veneto Italy- Amarone styled wine at a fraction of the price! Influences of wood compliment the dried fruit on the palate. Medium-bodied with powerful flavors of dried cherry accompanied by vanilla notes. The bold but subtle tannins are balanced by a juicy crispness. (Intense Cherry Vanilla  Medium-bodied )
Chateau Cantenac Brown Margaux 2015,$64.99,France,Bordeaux,Red Wine,Bordeaux Blend,Decanter-Margaux. Bordeaux. France - pureed damson and deeply focussed bitter dark chocolate. It has lovely grip and persistency a wine that you want to take your time with and watch as it develops. It is poised and balanced with lots of impact and well-extracted (Concentrated Black Currant Cherry  Full-bodied )
Nickel &amp; Nickel Cabernet CC Ranch 2013,$84.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Wine Enthusiast -Rutherford Napa CA- It shows the ripeness of the vintage as well exhibiting black inky color and a thick concentration of dark fruit and chocolate. Woody and herbaceous it also offers a full-bodied smoothness of tannin with robust dusty oak on the finish. (Intense Cherry  Full-bodied )
Wildhaven Red Blend Untamed Columbia Valley,$14.99,Washington,Columbia Valley,Red Wine,Red Blend,Columbia Valley WA- This Reserve Red Blend from the Columbia Valley boasts concentrated flavors of blueberry blackberry spice and cedar. Full-bodied with finely grained tannins it finishes with a balancing crispness that provides great structure. (Concentrated Blackberry Cedar  Full-bodied )
Antinori Peppoli Chianti Classico,$23.99,Italy,Tuscany,Red Wine,Sangiovese,Chianti Classico Tuscany Italy- A ripe fruity red with black currant damson and hints of coconut and chocolate. Very powerful with a silky medium body and a fruity chocolate-coated finish. ()
Kicker Cane Cabernet Sonoma 2015,$16.99,California,Sonoma County,Red Wine,Cabernet Sauvignon,Beverage Testing Institute-Sonoma County California -Bright dusty garnet color. Aromas of blackberries planked cedar butter cream and turned earth with a vibrant dry full body and a medium-length finish with earthy woody tannins and moderate oak. A rich cabernet with layered and nicely integrated flavors. (Intense Red Currant Chocolate Floral  Medium-bodied )
La Delizia Pinot Noir,$4.99,Italy,,Red Wine,Pinot Noir,Italy- Fresh fruit-driven and crowd-pleasing this supple Pinot Noir shows hints of fresh cherry and berry layered in a soft easy-drinking style. The ripe aromas of plum and red fruits combine in a delightful nose reminiscent of homemade preserves. (Fresh Raspberry Cherry  Light-bodied )
Justin Justification,$40.99,California,,Red Wine,Cabernet Franc,California- Below layers of toasted oak and caramel from the barrels lie violet raspberry and herbal aromas. The wine has a full entry and substantial tannins. Violet and raspberry nuances enhance the oak and herbal flavors along with a finish that is long and toasted. (Oak Caramel Raspberry  Medium-bodied )
Avenel Cellars Cabernet Napa,$25.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Napa Valley California- This Cabernet was handcrafted by renowned winemaker Marco DiGiulio. It expresses wonderful fullness and suppleness with soft and integrated tannins. The layers of black cherry blueberry and cocoa are dominant throughout the wine. Enjoy with steak or ribs. (Concentrated Blueberry Cherry  Full-bodied )
Duckhorn Discussion Red Napa Valley 2012,$124.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Napa CA- Impressive for its density complexity refinement and focus built around a core of ripe spicy currant blackberry black licorice anise and mineral. Full-bodied and well-proportioned ending with a long sleek finish and firm tannins. ()
Pina Cabernet Buckeye Vineyard Howell 2012,$99.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Wine Spectator-Howell Mountain Napa CA- Alluring aromas of ripe plum and blackberry are fresh and snappy offering notes of raspberry and violet. Firms on the palate displaying a minerally earthy texture and loamy tannins. (Concentrated Blueberry Espresso  Full-bodied )
Sutter Home Cabernet,$7.77,California,,Red Wine,Cabernet Sauvignon,California- plummy colour clear. nose: dark ripe sweet fruits. taste: quite fruity even balanced. Black cherry dark fruit & cedar box aromas w/slight spice & chocolate nuances. Flavors of currant w/notes of spices & herbs and dark licorice. ()
Chateau Ste Michelle Cold Creek Cabernet Sauvignon,$26.99,Washington,,Red Wine,Cabernet Sauvignon,Washington- Year in and year out the Cold Creek Vineyard sources perhaps a most ageworthy perfectly structured Cabernet. The length and balance once again suggest a wine that has decades of life ahead. ()
Banfi Chianti Classico,$12.99,Italy,Tuscany,Red Wine,Sangiovese,Tuscany Italy - Ruby red in color this Chianti Classico features intense notes of cherries plums and violets. Rich flavors of cherry and leather fill the palate while supple tannins balance out the pleasant acidity. ()
Pahlmeyer Jayson Red,$51.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Napa CA- This Bordeaux styled blend is a declassification of the more expensive Proprietary Red vinifies in the same manner and aged in 100%new French oak. Ripe with a velvety texture and gobs of black-cherry and black currant fruit this silky opulently styled wine is a knockout. (Intense Black Cherry Currant  Full-bodied )
Four Graces Pinot Noir Willamette,$23.99,Oregon,Willamette Valley,Red Wine,Pinot Noir,Dundee Hills Oregon US - Enticing vibrant it presents ripe pomegranate and cranberry on the palate laced by an earthy spiciness. Ageing for over 10 months in French Oak has contributed a softness to the mouthfeel without masking the lovely red to black fruit characteristics. (Elegant Raspberry Strawberry  Medium-bodied )
Gallo Family Vineyards Merlot,$7.97,California,,Red Wine,Merlot,This full-bodied Merlot blends flavors of black cherry ripe plum and oak for a velvety richness. ()
Chateau Joly St Emilion,$19.99,France,Bordeaux,Red Wine,Bordeaux Blend,St Emilion Bordeaux France- A blend of 86% Merlot and 14% Cabernet it offers ripe red fruit on the nose followed by layers of cherry and raspberry in the mid palate. The supple tannins flow seamlessly into the long supple smooth finish. (Elegant Cherry Raspberry  Full-bodied )
Ch Giscours Margaux 2014,$69.99,France,Bordeaux,Red Wine,Bordeaux Blend,Wine Enthusiast -3rd Growth Margaux Bordeaux France- Still dry and concentrated and with swathes of rich tannins the wine is dark and dense. The undertow of ripe black fruit is impressive. It obviously has considerable aging potential. (Elegant Raspberry Blackberry Coffee  Full-bodied )
Pigmentum Malbec Cahors,$10.99,France,Southwest France,Red Wine,Malbec,France- A great balance between being an easy-drinking fruit-forward wine and still retaining an elegance and great balance. It has a lovely nose and palate of red and black fruits including raspberry cassis and blackberry while avoiding the jammy/sweet and high alcohol excess. (Elegant Cassis Black Fruit Spice  Full-bodied )
Gallo Family Vineyards Cabernet,$7.97,California,,Red Wine,Cabernet Sauvignon,This full-bodied Cabernet Sauvignon demonstrates satisfying flavors of blackberry and black currant. ()
Pahlmeyer Proprietary Red 2014,$159.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Wine Advocate-California - [This wine shows] slightly less depth than its two surrounding siblings but beautiful pure fruit silky velvety tannins a layered mouthfeel and deep blackcurrant and black cherry fruit intermixed with cedar wood fruitcake and smoky oak. (Concentrated Cassis Spice Smoke  Full-bodied )
We Are Sonoma Pinot Noir,$11.99,California,Sonoma County,Red Wine,Pinot Noir,Sonoma CA- Shows a wonderful balance with classic flavors of red cherry strawberry and pleasant spices. Perfect to share with family and friends. A portion of each bottle sold supports the nonprofit Solar Sonoma County. (Elegant Cherry Strawberry Spice  Medium-bodied )
Gumdale Shiraz,$8.49,Australia,South Eastern Australia,Red Wine,Syrah/Shiraz,South Eastern Australia- Featuring an intense bouquet and flavors of blackberry black cherry plum anise and vanilla that linger enticingly on a long finish this full-bodied wine from the Casella family offers a soft texture and easy-drinking style. Try it with barbecued pork. (Fresh Blackberry Cherry Plum  Medium-bodied )
IL Poggione Rosso di Montalcino 2015,$15.87,Italy,Tuscany,Red Wine,Sangiovese,Wine Spectator-Rosso di Montalcino Tuscany Italy - Bright delicate and vibrant with berry and floral flavors. Accents of earth tobacco and spice add interest as they linger on the finish. Well-rounded and long... WS 2017 TOP 100 #46 ()
Hedges Family Wines Cabernet The Bourgeoisie,$19.99,Washington,Columbia Valley,Red Wine,Cabernet Sauvignon,Columbia Valley WA - Strong aromas of cherry and black fruit greet you in this full bodied Washington blend. Flavors of dark fruits mixed with light earthy notes lead to a smooth silky finish. A classic Bordeaux style blend that will pair great with cheeses meats or pasta (Concentrated Cassis Cherry  Full-bodied )
Donnachiara Aglianico Irpinia 2015,$19.99,Italy,Campagnia,Red Wine,Aglianico,Wine Spectator-Campania Italy - This is elegant and well-meshed with fine tannins and a fragrant skein of ground spice layered with flavors of baked black currant herbes de Provence smoke and fig cake. The fresh finish is chewy and lingering... WS 2017 Top 100 #71 (Fresh Citrus Strawberry  Medium-bodied )
St Amant Zinfandel Old Vine Lodi,$21.99,California,Lodi,Red Wine,Zinfandel,Lodi CA- In the heart of the Lodi Appellation. A classic Old Vine Zin - big ripe and chewy with rich raspberry and spicy blackberry flavors finishing with soft supple tannins. From the Mohr-Fry Ranch vineyard with 66+ year old vines. Certified green sustainable winegrowing vineyard. (Fresh Raspberry Blackberry  Medium-bodied )
Merry Edwards Pinot Noir Russian River,$59.99,California,Sonoma County,Red Wine,Pinot Noir,Russian River Valley Sonoma CA- The aroma of this intensely focused wine is packed with mouthwatering blueberry black raspberry and Damson plums. It displays a floral lupine perfume along with a generous infusion of dark chocolate and its signature dusting of cocoa. ()
Sterling Vintners Merlot,$10.97,California,Central Coast,Red Wine,Merlot,Central Coast CA- The complex aromas of ripe fruit and spicy oak are enticing On the palate rich black fruits are front and center with nice touches of cherry and dark chocolate continuing through the silky finish. Great value. (Fresh Blackberry Spice  Medium-bodied )
Debeaune Morgon Belles Grives,$15.99,France,Beaujolais,Red Wine,Gamay,Beaujolais France - This Morgon is smooth with intoxicating scents of cassis plum violet and rose. The palate is filled with sweet revealing waves of red fruit. Subtle and hints at a beautiful maturity. (Concentrated Red Berry Dried Cherry  Medium-bodied )
